iter	Logloss
0	0.6659750522
1	0.6443962209
2	0.6265309679
3	0.613565166
4	0.6016673805
5	0.5938241609
6	0.5877266394
7	0.5818585727
8	0.5781535767
9	0.5742927986
10	0.5710740165
11	0.569109097
12	0.5669759543
13	0.565207147
14	0.564184839
15	0.5626633947
16	0.5611582637
17	0.5600356664
18	0.559422855
19	0.5586197403
20	0.5580287659
21	0.5572567862
22	0.5564732355
23	0.5557230459
24	0.554865168
25	0.5539952935
26	0.5535458504
27	0.5526208993
28	0.5519519637
29	0.5513181712
30	0.5505258838
31	0.5498616345
32	0.5495087533
33	0.5489685947
34	0.5485013089
35	0.5480507247
36	0.5476357372
37	0.5469256578
38	0.5463604772
39	0.5458405983
40	0.5454692288
41	0.5447988386
42	0.5441885949
43	0.5436738045
44	0.5433656122
45	0.5429906741
46	0.542527041
47	0.5420203652
48	0.5415678775
49	0.5410296833
50	0.5406772136
51	0.5402669687
52	0.5396622766
53	0.5389066196
54	0.5384681115
55	0.5382008758
56	0.5375225581
57	0.5370912058
58	0.5366230126
59	0.5359992102
60	0.5352361261
61	0.5348879686
62	0.5347147458
63	0.5343753999
64	0.5340608421
65	0.5336143971
66	0.5331767588
67	0.5326885994
68	0.5322530658
69	0.5319407952
70	0.5315151161
71	0.5311039357
72	0.5305399291
73	0.5302335187
74	0.5299758336
75	0.5295633904
76	0.5291248121
77	0.5285254425
78	0.5278885725
79	0.5275116654
80	0.5272674126
81	0.5269693554
82	0.5265055493
83	0.5258365575
84	0.5253641597
85	0.5247418025
86	0.5242590965
87	0.5238751551
88	0.5233409832
89	0.5226984727
90	0.5225151054
91	0.5219997023
92	0.5214954072
93	0.5209798732
94	0.5202674085
95	0.5198267723
96	0.5193401844
97	0.5186986748
98	0.5181164511
99	0.5176824002
100	0.5169713994
101	0.5165091834
102	0.5159241769
103	0.5154907387
104	0.5148103396
105	0.5142744512
106	0.5137050192
107	0.513231859
108	0.5125534945
109	0.5122126145
110	0.5117735591
111	0.5115674194
112	0.5109988292
113	0.5102155124
114	0.5096822992
115	0.5092099622
116	0.5086012572
117	0.5081406548
118	0.5075525942
119	0.5071240902
120	0.5067125264
121	0.5064012472
122	0.5058790017
123	0.5053073855
124	0.5047904343
125	0.5043657842
126	0.5039885777
127	0.5034533207
128	0.503080492
129	0.5025464884
130	0.5020743384
131	0.5015247042
132	0.5012231673
133	0.5007272862
134	0.5002625118
135	0.4998360938
136	0.4995732405
137	0.4991906836
138	0.4989391393
139	0.4984645901
140	0.4980049885
141	0.4976255184
142	0.4972639098
143	0.4968090929
144	0.4964179536
145	0.4960634307
146	0.4956728714
147	0.4949821923
148	0.4944023866
149	0.4941066212
150	0.4937006417
151	0.4932810802
152	0.4932696402
153	0.4928463557
154	0.4922930922
155	0.4917365547
156	0.4912102822
157	0.4908035685
158	0.4902396834
