iter	Passed	Remaining
0	2	2547
1	5	2554
2	8	2689
3	10	2709
4	13	2672
5	16	2756
6	19	2724
7	22	2735
8	24	2741
9	27	2728
10	30	2699
11	32	2682
12	35	2678
13	37	2663
14	40	2647
15	43	2648
16	45	2640
17	48	2632
18	50	2632
19	53	2624
20	56	2623
21	58	2610
22	61	2600
23	63	2587
24	65	2573
25	68	2561
26	70	2554
27	73	2549
28	75	2537
29	78	2529
30	80	2524
31	83	2522
32	85	2513
33	88	2506
34	90	2500
35	93	2494
36	95	2486
37	98	2481
38	100	2475
39	102	2469
40	105	2465
41	107	2461
42	110	2455
43	112	2449
44	115	2450
45	118	2455
46	121	2456
47	124	2460
48	126	2456
49	129	2455
50	131	2452
51	134	2451
52	137	2455
53	140	2454
54	142	2451
55	145	2447
56	147	2442
57	150	2439
58	152	2438
59	155	2436
60	157	2431
61	160	2426
62	162	2423
63	165	2418
64	168	2417
65	170	2412
66	172	2408
67	175	2404
68	177	2400
69	180	2397
70	182	2392
71	185	2387
72	187	2384
73	190	2379
74	192	2376
75	195	2372
76	197	2369
77	200	2366
78	203	2366
79	205	2363
80	207	2358
81	210	2355
82	212	2350
83	215	2347
84	217	2345
85	220	2342
86	222	2338
87	225	2334
88	227	2331
89	230	2327
90	232	2324
91	235	2320
92	237	2317
93	239	2313
94	242	2309
95	244	2305
96	247	2302
97	249	2299
98	252	2298
99	254	2294
100	257	2290
101	259	2286
102	262	2283
103	264	2280
104	267	2276
105	269	2272
106	272	2270
107	274	2266
108	276	2264
109	279	2261
110	282	2258
111	284	2255
112	287	2253
113	290	2254
114	292	2253
115	295	2251
116	298	2251
117	301	2250
118	303	2249
119	307	2252
120	310	2259
121	313	2259
122	316	2257
123	319	2259
124	322	2258
125	325	2256
126	328	2255
127	331	2255
128	334	2255
129	337	2255
130	339	2252
131	342	2253
132	345	2250
133	348	2250
134	350	2248
135	353	2248
136	356	2248
137	359	2247
138	362	2246
139	365	2245
140	368	2245
141	371	2243
142	374	2242
143	376	2240
144	379	2239
145	382	2238
146	385	2236
147	388	2235
148	390	2232
149	393	2230
150	396	2230
151	399	2228
152	401	2224
153	405	2225
154	408	2224
155	411	2224
156	413	2222
157	416	2220
158	419	2221
159	422	2220
160	426	2220
161	429	2219
162	431	2216
163	434	2213
164	436	2210
165	439	2207
166	441	2204
167	444	2201
168	447	2198
169	449	2195
170	452	2193
171	454	2189
172	457	2186
173	459	2182
174	462	2180
175	465	2177
176	467	2174
177	470	2171
178	473	2170
179	476	2171
180	479	2170
181	482	2170
182	485	2167
183	488	2164
184	490	2161
185	493	2159
186	495	2155
187	498	2152
188	500	2149
189	503	2145
190	505	2142
191	508	2139
192	510	2136
193	513	2132
194	515	2129
195	518	2126
196	520	2123
197	523	2119
198	525	2116
199	528	2112
200	530	2109
201	533	2106
202	535	2102
203	538	2099
204	540	2096
205	542	2092
206	545	2088
207	547	2086
208	550	2083
209	552	2079
210	555	2076
211	557	2073
212	560	2069
213	562	2067
214	565	2063
215	567	2060
216	570	2057
217	572	2054
218	575	2052
219	578	2049
220	580	2046
221	582	2042
222	585	2040
223	587	2036
224	590	2033
225	592	2030
226	595	2027
227	597	2024
228	600	2021
229	602	2017
230	605	2014
231	607	2011
232	610	2008
233	612	2005
234	615	2002
235	617	1999
236	620	1996
237	622	1993
238	625	1990
239	627	1988
240	630	1986
241	633	1984
242	636	1983
243	639	1980
244	641	1977
245	644	1974
246	646	1971
247	649	1969
248	651	1966
249	654	1963
250	656	1959
251	659	1957
252	662	1954
253	664	1952
254	667	1949
255	669	1946
256	672	1944
257	674	1940
258	677	1937
259	680	1935
260	682	1933
261	685	1930
262	687	1927
263	690	1924
264	692	1920
265	695	1917
266	697	1914
267	699	1911
268	702	1908
269	704	1905
270	707	1903
271	709	1899
272	712	1896
273	714	1893
274	717	1890
275	719	1887
276	722	1884
277	724	1882
278	727	1879
279	729	1875
280	731	1872
281	734	1869
282	736	1866
283	739	1863
284	741	1860
285	744	1857
286	746	1854
287	749	1851
288	751	1848
289	753	1845
290	756	1843
291	759	1840
292	761	1837
293	764	1834
294	766	1831
295	768	1828
296	771	1825
297	773	1822
298	776	1820
299	778	1817
300	781	1814
301	783	1810
302	785	1807
303	788	1805
304	791	1803
305	794	1801
306	797	1799
307	799	1796
308	802	1794
309	805	1791
310	807	1789
311	810	1786
312	812	1783
313	815	1781
314	818	1778
315	820	1776
316	823	1773
317	825	1770
318	828	1768
319	830	1765
320	833	1762
321	835	1759
322	838	1756
323	840	1754
324	843	1751
325	845	1748
326	848	1745
327	850	1742
328	853	1739
329	855	1737
330	858	1734
331	860	1731
332	863	1729
333	866	1726
334	868	1724
335	870	1721
336	873	1718
337	875	1715
338	878	1712
339	880	1709
340	883	1707
341	885	1704
342	888	1701
343	890	1698
344	893	1696
345	896	1693
346	899	1692
347	902	1689
348	905	1688
349	907	1685
350	910	1683
351	912	1680
352	915	1677
353	918	1675
354	920	1673
355	923	1670
356	925	1667
357	928	1665
358	931	1662
359	933	1659
360	936	1657
361	938	1654
362	941	1651
363	943	1648
364	945	1645
365	948	1642
366	950	1640
367	953	1637
368	955	1634
369	958	1631
370	960	1629
371	963	1626
372	965	1623
373	968	1620
374	970	1617
375	973	1615
376	975	1612
377	978	1609
378	980	1606
379	982	1603
380	985	1600
381	987	1598
382	990	1595
383	992	1592
384	995	1589
385	997	1587
386	1000	1584
387	1003	1582
388	1006	1580
389	1009	1579
390	1012	1577
391	1015	1575
392	1017	1572
393	1020	1569
394	1022	1566
395	1025	1564
396	1027	1561
397	1030	1558
398	1032	1555
399	1035	1553
400	1038	1550
401	1040	1547
402	1042	1544
403	1045	1542
404	1047	1539
405	1050	1536
406	1053	1534
407	1055	1532
408	1058	1529
409	1061	1528
410	1064	1526
411	1067	1523
412	1070	1521
413	1073	1518
414	1075	1516
415	1079	1514
416	1082	1512
417	1084	1510
